metric_type,metric_name,seed,checkpoint_step,train_k,inference_k,train_k_b,inference_k_b,pair,value,extra
expert_frequency,max_expert_share,0,0,1,1,,,,0.05099826388888889,
loss,validation_loss,0,0,1,1,,,,5.7090091402568515,
expert_frequency,max_expert_share,0,0,1,2,,,,0.04741365947420635,
loss,validation_loss,0,0,1,2,,,,5.705074219476609,
expert_frequency,max_expert_share,0,0,1,3,,,,0.04601081969246032,
loss,validation_loss,0,0,1,3,,,,5.703721152411567,
expert_frequency,max_expert_share,0,0,1,4,,,,0.044906374007936505,
loss,validation_loss,0,0,1,4,,,,5.703853425525484,
expert_frequency,max_expert_share,0,0,1,5,,,,0.04414605034722222,
loss,validation_loss,0,0,1,5,,,,5.7051931411500965,
expert_frequency,max_expert_share,0,0,1,6,,,,0.04321224475033069,
loss,validation_loss,0,0,1,6,,,,5.705680786617219,
expert_frequency,max_expert_share,0,0,1,7,,,,0.04232379800878685,
loss,validation_loss,0,0,1,7,,,,5.705871339828249,
expert_frequency,max_expert_share,0,0,1,8,,,,0.04112946041046627,
loss,validation_loss,0,0,1,8,,,,5.705653266301231,
expert_frequency,max_expert_share,0,1500,1,1,,,,0.035853794642857144,
loss,validation_loss,0,1500,1,1,,,,0.4438789449040852,
expert_frequency,max_expert_share,0,1500,1,2,,,,0.0345032707093254,
loss,validation_loss,0,1500,1,2,,,,0.4338335196177165,
expert_frequency,max_expert_share,0,1500,1,3,,,,0.03348472635582011,
loss,validation_loss,0,1500,1,3,,,,0.48703321388789583,
expert_frequency,max_expert_share,0,1500,1,4,,,,0.03282238188244048,
loss,validation_loss,0,1500,1,4,,,,0.5401819073964679,
expert_frequency,max_expert_share,0,1500,1,5,,,,0.03277529761904762,
loss,validation_loss,0,1500,1,5,,,,0.5930725165775844,
expert_frequency,max_expert_share,0,1500,1,6,,,,0.032802682705026454,
loss,validation_loss,0,1500,1,6,,,,0.6500151251989698,
expert_frequency,max_expert_share,0,1500,1,7,,,,0.03297891422193878,
loss,validation_loss,0,1500,1,7,,,,0.7009378103982835,
expert_frequency,max_expert_share,0,1500,1,8,,,,0.032802036830357144,
loss,validation_loss,0,1500,1,8,,,,0.7526923493733482,
expert_frequency,max_expert_share,0,0,2,1,,,,0.05099826388888889,
loss,validation_loss,0,0,2,1,,,,5.7090091402568515,
expert_frequency,max_expert_share,0,0,2,2,,,,0.04741365947420635,
loss,validation_loss,0,0,2,2,,,,5.705074219476609,
expert_frequency,max_expert_share,0,0,2,3,,,,0.04601081969246032,
loss,validation_loss,0,0,2,3,,,,5.703721152411567,
expert_frequency,max_expert_share,0,0,2,4,,,,0.044906374007936505,
loss,validation_loss,0,0,2,4,,,,5.703853425525484,
expert_frequency,max_expert_share,0,0,2,5,,,,0.04414605034722222,
loss,validation_loss,0,0,2,5,,,,5.7051931411500965,
expert_frequency,max_expert_share,0,0,2,6,,,,0.04321224475033069,
loss,validation_loss,0,0,2,6,,,,5.705680786617219,
expert_frequency,max_expert_share,0,0,2,7,,,,0.04232379800878685,
loss,validation_loss,0,0,2,7,,,,5.705871339828249,
expert_frequency,max_expert_share,0,0,2,8,,,,0.04112946041046627,
loss,validation_loss,0,0,2,8,,,,5.705653266301231,
expert_frequency,max_expert_share,0,1500,2,1,,,,0.04272848462301587,
loss,validation_loss,0,1500,2,1,,,,0.6419124149140858,
expert_frequency,max_expert_share,0,1500,2,2,,,,0.041211325024801584,
loss,validation_loss,0,1500,2,2,,,,0.39978386296166313,
expert_frequency,max_expert_share,0,1500,2,3,,,,0.03997835028108466,
loss,validation_loss,0,1500,2,3,,,,0.3978344788627019,
expert_frequency,max_expert_share,0,1500,2,4,,,,0.039548843625992064,
