task_id,task_name,train_k,inference_k,matched_loss,observed_loss,delta_loss,seed_values,num_seeds
0,general_ko,1,1,0.47566559636551475,0.47566559636551475,0.0,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,8
0,general_ko,1,2,0.47566559636551475,0.46180699491459465,-0.013858601450920098,-0.024064;-0.040416;0.013455;-0.032032;-0.005564;-0.020226;0.006737;-0.008760,8
0,general_ko,1,3,0.47566559636551475,0.5053315453955697,0.029665949030054962,0.040097;-0.006159;0.030170;0.006308;0.036292;0.025112;0.060955;0.044551,8
0,general_ko,1,4,0.47566559636551475,0.5485405008205109,0.0728749044549962,0.101665;0.033615;0.050500;0.028770;0.118157;0.074075;0.107952;0.068266,8
0,general_ko,1,5,0.47566559636551475,0.5949105572265884,0.11924496086107361,0.168727;0.072624;0.109556;0.065493;0.151973;0.113757;0.178478;0.093353,8
0,general_ko,1,6,0.47566559636551475,0.6524691760746969,0.1768035797091822,0.245811;0.128666;0.149494;0.118923;0.214222;0.162716;0.250785;0.143811,8
0,general_ko,1,7,0.47566559636551475,0.6997320194625192,0.22406642309700447,0.290836;0.170509;0.187745;0.165016;0.273452;0.211938;0.326916;0.166119,8
0,general_ko,1,8,0.47566559636551475,0.7456978242844343,0.2700322279189196,0.335102;0.214898;0.229981;0.226999;0.313963;0.255286;0.383865;0.200164,8
0,general_ko,2,1,0.4301549127428896,0.6915418441510862,0.2613869314081967,0.232694;0.276374;0.167409;0.301735;0.331404;0.293250;0.210191;0.278036,8
0,general_ko,2,2,0.4301549127428896,0.4301549127428896,0.0,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,8
0,general_ko,2,3,0.4301549127428896,0.4181738522731596,-0.011981060469730027,-0.008778;-0.014400;-0.001484;0.009310;-0.043099;-0.025250;-0.018547;0.006400,8
0,general_ko,2,4,0.4301549127428896,0.4328130738188823,0.002658161075992725,0.006216;0.022937;0.003883;0.022939;-0.030740;-0.007168;-0.020110;0.023308,8
0,general_ko,2,5,0.4301549127428896,0.4549348087877863,0.024779896044896714,0.041793;0.026555;0.041847;0.046888;-0.002614;0.007267;-0.006625;0.043128,8
0,general_ko,2,6,0.4301549127428896,0.4979716021981504,0.06781668945526084,0.089387;0.072378;0.087028;0.076262;0.039647;0.050795;0.034101;0.092935,8
0,general_ko,2,7,0.4301549127428896,0.5392811183507245,0.1091262056078348,0.140496;0.102635;0.136243;0.111234;0.097990;0.095734;0.062849;0.125829,8
0,general_ko,2,8,0.4301549127428896,0.5860284432872302,0.1558735305443406,0.201443;0.138269;0.184051;0.155963;0.152105;0.143997;0.106092;0.165067,8
0,general_ko,3,1,0.43579078905491364,0.9969183944372667,0.5611276053823531,0.592772;0.583940;0.511870;0.600918;0.520227;0.544909;0.686838;0.447547,8
0,general_ko,3,2,0.43579078905491364,0.4791217047410707,0.043330915686157025,0.033206;0.036128;0.027049;0.024252;0.064392;0.044252;0.078321;0.039047,8
0,general_ko,3,3,0.43579078905491364,0.43579078905491364,0.0,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,8
0,general_ko,3,4,0.43579078905491364,0.41880090482946897,-0.016989884225444653,-0.035819;-0.029031;-0.004501;-0.016850;-0.010971;-0.014467;-0.008038;-0.016242,8
0,general_ko,3,5,0.43579078905491364,0.42222105375387603,-0.013569735301037618,-0.038153;-0.042669;0.000763;-0.009994;-0.002253;-0.010877;-0.007629;0.002255,8
0,general_ko,3,6,0.43579078905491364,0.43126821347201866,-0.004522575582895004,-0.019417;-0.039754;0.015011;-0.011681;0.013292;0.010934;-0.008609;0.004043,8
0,general_ko,3,7,0.43579078905491364,0.4540163663526376,0.018225577297723956,0.004935;-0.015733;0.042589;0.002517;0.040705;0.031421;0.005779;0.033593,8
0,general_ko,3,8,0.43579078905491364,0.4760278920746511,0.040237103019737534,0.025700;0.003126;0.073980;0.014700;0.075407;0.047625;0.019652;0.061707,8
0,general_ko,4,1,0.415558781216128,1.264577639599641,0.8490188583835131,0.765259;0.911375;0.809337;0.927813;0.854352;0.790868;0.753092;0.980056,8
0,general_ko,4,2,0.415558781216128,0.522511072922498,0.10695229170637,0.077932;0.192838;0.091965;0.051347;0.089988;0.107980;0.105234;0.138334,8
0,general_ko,4,3,0.415558781216128,0.43565538054746056,0.02009659933133258,0.022532;0.027530;-0.003524;0.011783;0.038258;0.006866;0.018245;0.039083,8
0,general_ko,4,4,0.415558781216128,0.415558781216128,0.0,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,8
0,general_ko,4,5,0.415558781216128,0.4088977095670998,-0.00666107164902819,-0.010389;-0.011279;0.007029;-0.015396;-0.009819;0.001568;-0.009286;-0.005716,8
0,general_ko,4,6,0.415558781216128,0.4074519283345176,-0.0081068528816104,-0.009683;-0.015594;0.010056;-0.024610;-0.016254;0.000147;-0.005296;-0.003621,8
0,general_ko,4,7,0.415558781216128,0.41408137537332046,-0.001477405842807561,0.002770;-0.018292;0.022663;-0.021962;-0.011105;0.012556;0.000227;0.001324,8
0,general_ko,4,8,0.415558781216128,0.42526983883645797,0.009711057620329991,0.011716;-0.008984;0.041686;-0.015514;0.013275;0.023142;0.016240;-0.003874,8
0,general_ko,5,1,0.41166106006130576,1.427722292020917,1.0160612319596112,0.808949;1.102676;1.199786;0.868925;1.080134;1.077758;0.920023;1.070240,8
0,general_ko,5,2,0.41166106006130576,0.556373547607412,0.14471248754610616,0.115581;0.195104;0.155301;0.115909;0.165142;0.138885;0.121319;0.150459,8
0,general_ko,5,3,0.41166106006130576,0.45353573503800565,0.04187467497669988,0.037202;0.042843;0.056806;0.027602;0.047668;0.036152;0.030701;0.056024,8
0,general_ko,5,4,0.41166106006130576,0.42275770443181193,0.011096644370506212,0.022501;0.007411;-0.003256;0.014151;0.024172;0.009891;0.007189;0.006714,8
0,general_ko,5,5,0.41166106006130576,0.41166106006130576,0.0,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,8
0,general_ko,5,6,0.41166106006130576,0.40645940074076253,-0.005201659320543214,0.003528;-0.017067;-0.000727;-0.006302;-0.013700;0.002903;0.000253;-0.010501,8
0,general_ko,5,7,0.41166106006130576,0.4072760776616633,-0.0043849823996424675,0.010903;-0.020816;0.010148;-0.015439;-0.018518;0.004674;0.001345;-0.007376,8
0,general_ko,5,8,0.41166106006130576,0.41123719047755003,-0.0004238695837557316,0.014527;-0.021986;0.021399;-0.013798;-0.017565;0.012055;0.010112;-0.008135,8
0,general_ko,6,1,0.4136283790382246,1.6643117231627307,1.2506833441245058,1.295856;1.255217;1.187867;1.377530;1.208302;1.084286;1.305943;1.290464,8
