task_id,task_name,train_k,inference_k,matched_loss,observed_loss,delta_loss,seed_values,num_seeds
0,general_ko,1,1,0.3173148966497845,0.3173148966497845,0.0,0.000000;0.000000;0.000000;0.000000;0.000000,5
0,general_ko,1,2,0.3173148966497845,0.3110082800189654,-0.006306616630819106,-0.009433;-0.007789;-0.037141;0.011906;0.010924,5
0,general_ko,1,3,0.3173148966497845,0.3229373295274046,0.005622432877620076,-0.010400;0.028954;-0.037191;0.002406;0.044343,5
0,general_ko,1,4,0.3173148966497845,0.3390049950944053,0.021690098444620765,-0.004500;0.034505;-0.004876;0.028348;0.054973,5
0,general_ko,1,5,0.3173148966497845,0.3614380031824112,0.04412310653262669,0.015918;0.061428;0.002987;0.046916;0.093368,5
0,general_ko,1,6,0.3173148966497845,0.3892565039296945,0.07194160727990999,0.032128;0.091217;0.023858;0.090385;0.122120,5
0,general_ko,1,7,0.3173148966497845,0.417465738289886,0.10015084164010153,0.054604;0.124748;0.053834;0.107935;0.159633,5
0,general_ko,1,8,0.3173148966497845,0.45340233486559656,0.13608743821581207,0.084266;0.161815;0.079218;0.150154;0.204984,5
0,general_ko,2,1,0.3381975192162726,0.5436488149894608,0.20545129577318827,0.215887;0.195817;0.216024;0.200317;0.199211,5
0,general_ko,2,2,0.3381975192162726,0.3381975192162726,0.0,0.000000;0.000000;0.000000;0.000000;0.000000,5
0,general_ko,2,3,0.3381975192162726,0.33389694831437533,-0.004300570901897216,0.010410;-0.018725;0.002718;-0.005476;-0.010430,5
0,general_ko,2,4,0.3381975192162726,0.33513632780975766,-0.003061191406514918,0.015094;-0.009208;0.006271;-0.001530;-0.025933,5
0,general_ko,2,5,0.3381975192162726,0.34628847630487547,0.008090957088602902,0.040975;0.007160;0.012918;-0.003886;-0.016713,5
0,general_ko,2,6,0.3381975192162726,0.3662212249305513,0.028023705714278747,0.059254;0.033879;0.040467;0.005261;0.001257,5
0,general_ko,2,7,0.3381975192162726,0.3886646712819736,0.05046715206570096,0.079405;0.064550;0.063009;0.021387;0.023985,5
0,general_ko,2,8,0.3381975192162726,0.4171581815514299,0.07896066233515739,0.104472;0.094754;0.092925;0.043316;0.059336,5
0,general_ko,3,1,0.38918143618437984,0.9776153031322691,0.5884338669478894,0.651507;0.452743;0.697266;0.624296;0.516357,5
0,general_ko,3,2,0.38918143618437984,0.4411548816495472,0.051973445465167356,0.049882;0.011472;0.069428;0.060869;0.068217,5
0,general_ko,3,3,0.38918143618437984,0.38918143618437984,0.0,0.000000;0.000000;0.000000;0.000000;0.000000,5
0,general_ko,3,4,0.38918143618437984,0.37853159440888295,-0.010649841775496794,-0.032342;-0.001263;-0.002782;-0.006531;-0.010331,5
0,general_ko,3,5,0.38918143618437984,0.3779713706009918,-0.011210065583388018,-0.045192;0.002172;0.002926;-0.001991;-0.013966,5
0,general_ko,3,6,0.38918143618437984,0.38813671254449417,-0.0010447236398855807,-0.039950;0.012096;0.023469;0.012819;-0.013658,5
0,general_ko,3,7,0.38918143618437984,0.4047084406018257,0.015527004417445932,-0.030121;0.030758;0.048795;0.021425;0.006777,5
0,general_ko,3,8,0.38918143618437984,0.4270607492162122,0.03787931303183238,-0.016913;0.050392;0.084275;0.046030;0.025613,5
0,general_ko,4,1,0.4148313026461336,1.2760672589143116,0.8612359562681782,0.927813;0.854352;0.790868;0.753092;0.980056,5
0,general_ko,4,2,0.4148313026461336,0.5134080607857969,0.09857675813966328,0.051347;0.089988;0.107980;0.105234;0.138334,5
0,general_ko,4,3,0.4148313026461336,0.4376780702835984,0.022846767637464738,0.011783;0.038258;0.006866;0.018245;0.039083,5
0,general_ko,4,4,0.4148313026461336,0.4148313026461336,0.0,0.000000;0.000000;0.000000;0.000000;0.000000,5
0,general_ko,4,5,0.4148313026461336,0.40710148488481834,-0.007729817761315238,-0.015396;-0.009819;0.001568;-0.009286;-0.005716,5
0,general_ko,4,6,0.4148313026461336,0.4049044516351488,-0.009926851010984849,-0.024610;-0.016254;0.000147;-0.005296;-0.003621,5
0,general_ko,4,7,0.4148313026461336,0.41103931292891505,-0.0037919897172186134,-0.021962;-0.011105;0.012556;0.000227;0.001324,5
0,general_ko,4,8,0.4148313026461336,0.42148532569408426,0.006654023047950541,-0.015514;0.013275;0.023142;0.016240;-0.003874,5
0,general_ko,5,1,0.45498809897237347,1.5334529330333073,1.078464834060934,1.085056;1.055068;0.903150;1.075996;1.273053,5
0,general_ko,5,2,0.45498809897237347,0.6231464518441093,0.1681583528717359,0.265035;0.128460;0.141210;0.074916;0.231171,5
0,general_ko,5,3,0.45498809897237347,0.5097833800646994,0.054795281092325863,0.071814;0.056612;0.043432;0.011558;0.090560,5
